dmfilename;ACOTourLength;ACOTour;ACOExecutionTime;ACOIterations;SATourLength;SATour;SAExecutionTime;SAIterations;PSOTourLength;PSOTour;PSOExecutionTime;PSOIterations
TSP_DATA_7x7_2024-05-22-15-49-02;24;0,1,2,6,3,5,4;2,0394;1;28;2,4,3,5,1,0,6;1,0024;1;122;5,3,4,1,0,2,6;3,9971;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;2,1,0,6,3,5,4;0;1;24;1,2,6,3,4,5,0;1,0386;1;28;2,1,5,4,3,6,0;0;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;2,1,0,6,3,5,4;0;1;28;1,0,4,3,5,2,6;0;1;122;3,5,4,1,0,6,2;1,0011;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;0,1,2,6,3,5,4;0;1;28;3,5,0,1,6,2,4;1,5631;1;28;2,4,3,5,0,1,6;0,9491;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;4,5,3,6,2,1,0;0;1;28;1,0,5,3,4,2,6;1,0311;1;32;1,6,0,4,3,5,2;1,0026;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;0,1,2,6,3,5,4;0,9675;1;24;6,0,1,2,4,5,3;0,5395;1;36;2,1,6,3,4,0,5;0,0845;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;2,1,0,6,3,5,4;0;1;24;4,5,3,6,1,0,2;0,9653;1;134;2,5,1,4,0,3,6;0;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;1,0,2,6,3,5,4;0;1;28;2,4,3,5,1,0,6;1,0387;1;24;1,0,6,3,4,5,2;0;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;3,5,4,2,1,0,6;0;1;24;1,2,5,4,3,6,0;2,9693;1;118;5,4,3,0,1,6,2;1,564;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;4,5,3,6,2,1,0;0,9461;1;24;2,6,3,4,5,1,0;1,0046;1;122;6,0,3,5,4,2,1;1,0011;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;1,0,2,6,3,5,4;0;1;28;2,6,1,0,4,3,5;0;1;122;4,3,2,6,0,1,5;1,5411;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;3,5,4,2,1,0,6;0;1;24;6,1,0,2,5,4,3;1,0081;1;24;5,0,1,2,6,3,4;1,031;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;2,1,0,6,3,5,4;1,0018;1;28;4,3,5,2,6,0,1;0;1;28;0,2,1,5,4,3,6;0,9992;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;4,5,3,6,2,1,0;0;1;24;1,0,6,3,4,5,2;0,9668;1;32;0,4,3,5,1,2,6;0;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;2,1,0,6,3,5,4;0;1;28;3,5,2,6,1,0,4;0,9654;1;24;5,4,3,6,0,1,2;1,0007;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;2,1,0,6,3,5,4;1,0004;1;28;5,2,6,0,1,4,3;0;1;32;6,0,1,5,2,4,3;1,5037;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;4,5,3,6,2,1,0;1,0044;1;24;4,0,1,2,6,3,5;0;1;36;4,0,5,2,1,6,3;1,0037;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;1,0,2,6,3,5,4;0;1;28;3,4,2,6,0,1,5;1,0008;1;32;2,4,3,6,1,0,5;0,999;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;3,5,4,2,1,0,6;0;1;24;4,1,0,2,6,3,5;1,0015;1;36;4,3,6,1,5,0,2;0,9986;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;1,0,2,6,3,5,4;1,0026;1;24;4,2,1,0,6,3,5;0;1;126;0,3,6,1,4,5,2;1,0332;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;2,1,0,6,3,5,4;1,5055;1;28;4,3,5,2,6,1,0;0;1;122;6,2,1,0,4,3,5;1,0451;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;2,1,0,6,3,5,4;0,9602;1;24;5,2,1,0,6,3,4;0;1;32;5,1,2,6,0,4,3;1,0005;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;2,1,0,6,3,5,4;1,0021;1;28;5,0,1,6,2,4,3;0,9991;1;122;4,3,2,6,1,0,5;1,0006;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;3,5,4,2,1,0,6;0,5108;1;28;4,1,0,6,2,5,3;3,0049;1;28;1,4,5,3,6,0,2;0,9994;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;3,5,4,2,1,0,6;1,0008;1;24;4,2,1,0,6,3,5;0;1;32;4,0,6,1,2,5,3;0,999;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;1,0,2,6,3,5,4;1,0009;1;28;5,0,1,6,2,4,3;0;1;36;6,1,5,2,0,4,3;0,9993;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;4,5,3,6,2,1,0;0;1;28;1,6,2,5,3,4,0;1,5626;1;36;4,1,5,3,6,2,0;0,5045;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;3,5,4,2,1,0,6;1,0041;1;24;4,5,3,6,2,1,0;0;1;24;6,3,5,4,2,0,1;0,9994;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;3,5,4,2,1,0,6;0;1;24;1,2,6,3,4,5,0;0;1;122;4,0,1,2,6,5,3;1,0051;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;2,1,0,6,3,5,4;0;1;24;6,2,1,0,4,5,3;0;1;124;5,4,0,2,6,1,3;0;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;2,1,0,6,3,5,4;0;1;24;3,6,1,0,2,4,5;1;1;24;2,1,0,6,3,5,4;0;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;4,5,3,6,2,1,0;0;1;28;3,4,2,6,1,0,5;0;1;126;6,1,2,4,5,0,3;1,5022;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;4,5,3,6,2,1,0;0;1;24;0,2,5,4,3,6,1;1,0057;1;36;4,1,6,3,5,2,0;1,0032;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;4,5,3,6,2,1,0;1,0012;1;28;6,0,1,4,3,5,2;0;1;124;3,6,4,2,0,1,5;0,999;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;2,1,0,6,3,5,4;0;1;28;6,1,0,4,3,5,2;1,0007;1;24;6,2,1,0,5,4,3;0,9994;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;4,5,3,6,2,1,0;0;1;24;3,5,4,2,1,0,6;4,5771;1;120;5,3,4,6,1,0,2;0,9617;1
TSP_DATA_7x7_2024-05-22-15-49-02;24;2,1,0,6,3,5,4;1,0035;1;28;6,2,4,3,5,0,1;4,9968;1;36;3,5,1,4,0,2,6;1,0003;1
